ds,y
2018-01-01,44.222775941669866
2018-01-02,57.56437049673248
2018-01-03,56.734549647291615
2018-01-04,53.120487856280555
2018-01-05,50.73430950978599
2018-01-06,51.17597597902448
2018-01-07,47.17564207858604
2018-01-08,47.48533821428116
2018-01-09,63.9494223872858
2018-01-10,70.08295697292262
2018-01-11,56.081854326717526
2018-01-12,50.22330375913358
2018-01-13,45.99546882423982
2018-01-14,44.366265368383665
2018-01-15,59.7868242359266
2018-01-16,64.19383312273446
2018-01-17,69.26042561540392
2018-01-18,57.746376337756615
2018-01-19,51.7485794095478
2018-01-20,52.56514045372344
2018-01-21,49.44583637893624
2018-01-22,68.18684436055582
2018-01-23,65.79367599408216
2018-01-24,71.26547623332726
2018-01-25,69.8114170274449
2018-01-26,49.79333894585282
2018-01-27,43.082496529798426
2018-01-28,46.598381623265965
2018-01-29,68.76430964821881
2018-01-30,67.91398715321213
2018-01-31,85.79588620802349
2018-02-01,65.17084305204897
2018-02-02,60.63169378845231
2018-02-03,62.40038786327765
2018-02-04,67.03933542686917
2018-02-05,75.5194137632169
2018-02-06,79.45330985384759
2018-02-07,80.84049901619177
2018-02-08,73.64651669503995
2018-02-09,66.26846332252966
2018-02-10,54.57697255833462
2018-02-11,55.53571189017702
2018-02-12,67.78706858275483
2018-02-13,75.12625527570708
2018-02-14,75.99285336142027
2018-02-15,76.67719474532753
2018-02-16,69.6365968148555
2018-02-17,60.229862892208374
2018-02-18,69.44028418384218
2018-02-19,64.4919171742462
2018-02-20,77.37530036733033
2018-02-21,77.01081056761699
2018-02-22,66.16753319437048
2018-02-23,66.72018642255651
2018-02-24,61.42070972189202
2018-02-25,71.82914988908549
2018-02-26,75.53089560762429
2018-02-27,75.36591319928547
2018-02-28,91.97498789362878
2018-03-01,83.68092886993483
2018-03-02,72.08516178240328
2018-03-03,62.903257774488694
2018-03-04,61.435702204268196
2018-03-05,72.45119578856173
2018-03-06,87.83001778199952
2018-03-07,93.99056909932483
2018-03-08,87.11843671405141
2018-03-09,68.51990289806136
2018-03-10,60.18976875318366
2018-03-11,68.65190208222464
2018-03-12,67.14670515294145
2018-03-13,85.64060169209226
2018-03-14,85.42965679020057
2018-03-15,78.63335141367249
2018-03-16,64.51298267596385
2018-03-17,69.83899961618224
2018-03-18,66.72767859212247
2018-03-19,71.54338382900656
2018-03-20,71.02766921852218
2018-03-21,87.35427235816162
2018-03-22,91.10874979175793
2018-03-23,82.03636533766266
2018-03-24,66.18854703124404
2018-03-25,67.54246632214341
2018-03-26,80.85836640455551
2018-03-27,81.47764426401119
2018-03-28,90.04035452143484
2018-03-29,87.07630337059388
2018-03-30,80.82192484345059
2018-03-31,68.88915615181817
2018-04-01,70.40970656162443
2018-04-02,74.9577353078051
2018-04-03,83.12689346274868
2018-04-04,88.14927349455921
2018-04-05,85.79154238913966
2018-04-06,79.92253774767681
2018-04-07,65.99994604542414
2018-04-08,79.47601843012313
2018-04-09,78.53515642534117
2018-04-10,87.65626303429725
2018-04-11,86.00615632809546
2018-04-12,72.25287945817765
2018-04-13,80.15311547833399
2018-04-14,74.03734315711321
2018-04-15,70.90234282915917
2018-04-16,80.48138047948235
2018-04-17,90.55783284338789
2018-04-18,82.10405686206295
2018-04-19,81.86308434801194
2018-04-20,79.79834774416328
2018-04-21,64.13586649315762
2018-04-22,73.79121135110258
2018-04-23,73.33841891271105
2018-04-24,90.2458682218057
2018-04-25,89.63507299864199
2018-04-26,76.29033940668305
2018-04-27,81.46978364678205
2018-04-28,66.51509675409517
2018-04-29,68.01485711407052
2018-04-30,80.8291174628857
2018-05-01,93.32439506929798
2018-05-02,84.36451943723954
2018-05-03,84.26792661075444
2018-05-04,77.34721255890841
2018-05-05,73.17448453026748
2018-05-06,72.43344267960867
2018-05-07,77.44082731295376
2018-05-08,82.85790785333505
2018-05-09,89.25434074420927
